Relative Path,Original Size,Scale,Has Alpha,File Type,ICC Profile,Lossless Size,Lossless No Alpha Size,lossy_q75_m0_a100,lossy_q75_m0_a80,lossy_q75_m0_no_alpha,lossy_q75_m4_a100,lossy_q75_m4_a80,lossy_q75_m4_no_alpha,lossy_q75_m6_a100,lossy_q75_m6_a80,lossy_q75_m6_no_alpha,lossy_q50_m0_a100,lossy_q50_m0_a80,lossy_q50_m0_no_alpha,lossy_q50_m4_a100,lossy_q50_m4_a80,lossy_q50_m4_no_alpha,lossy_q50_m6_a100,lossy_q50_m6_a80,lossy_q50_m6_no_alpha,lossy_q25_m0_a100,lossy_q25_m0_a80,lossy_q25_m0_no_alpha,lossy_q25_m4_a100,lossy_q25_m4_a80,lossy_q25_m4_no_alpha,lossy_q25_m6_a100,lossy_q25_m6_a80,lossy_q25_m6_no_alpha
images/news/20160424-os-shares.png,44564,600x300,False,PNG,None,35148,N/A,N/A,N/A,15090,N/A,N/A,10468,N/A,N/A,10190,N/A,N/A,12848,N/A,N/A,8506,N/A,N/A,8166,N/A,N/A,9590,N/A,N/A,6142,N/A,N/A,5842
images/news/20200629-civilians.png,222014,600x300,True,PNG,None,164680,164680,47320,47320,47320,46086,46086,46086,44142,44142,44142,34876,34876,34876,33144,33144,33144,30338,30338,30338,21354,21354,21354,19372,19372,19372,16982,16982,16982
images/news/20150424-ts-teaser.png,116452,600x300,False,PNG,None,145344,N/A,N/A,N/A,61632,N/A,N/A,56854,N/A,N/A,54416,N/A,N/A,47258,N/A,N/A,43024,N/A,N/A,40706,N/A,N/A,33292,N/A,N/A,28376,N/A,N/A,26132
images/news/20170110-stats-enable-sysinfo-checkbox.png,128670,600x300,False,PNG,None,84094,N/A,N/A,N/A,27212,N/A,N/A,21740,N/A,N/A,20760,N/A,N/A,21462,N/A,N/A,16816,N/A,N/A,15730,N/A,N/A,15724,N/A,N/A,12088,N/A,N/A,10850
images/news/20131209-openra-utility.png,195673,600x300,False,PNG,None,170172,N/A,N/A,N/A,40342,N/A,N/A,34158,N/A,N/A,33568,N/A,N/A,33818,N/A,N/A,28836,N/A,N/A,28464,N/A,N/A,27892,N/A,N/A,23174,N/A,N/A,22838
images/news/20180102-serverplayers.png,46918,1200x600,True,PNG,None,25348,25348,61048,61048,61048,52738,52738,52738,51370,51370,51370,51888,51888,51888,42352,42352,42352,40850,40850,40850,42540,42540,42540,30724,30724,30724,29134,29134,29134
images/news/20160904-d2k-playerscore.png,32669,600x350,True,PNG,None,23614,23614,28874,28874,28874,24922,24922,24922,23580,23580,23580,22052,22052,22052,17866,17866,17866,16604,16604,16604,16728,16728,16728,12202,12202,12202,11338,11338,11338
images/news/20160403-cnc-nod-colors.png,19106,600x300,True,PNG,None,18502,18502,34066,34066,34066,31222,31222,31222,29132,29132,29132,23412,23412,23412,20748,20748,20748,19568,19568,19568,16384,16384,16384,14344,14344,14344,13562,13562,13562
images/news/20221203-hpf.png,1044597,800x525,True,PNG,Unknown,766120,766120,94212,94212,94212,84432,84432,84432,77156,77156,77156,71156,71156,71156,61728,61728,61728,58014,58014,58014,50702,50702,50702,40520,40520,40520,37898,37898,37898
images/news/2017-christmas.gif,186561,934x540,True,GIF,None,31276,31276,58842,58842,58842,46462,46462,46462,43780,43780,43780,45466,45466,45466,34388,34388,34388,32044,32044,32044,31560,31560,31560,21816,21816,21816,19818,19818,19818
images/news/20140405-modchooser.png,75329,600x350,False,PNG,None,95968,N/A,N/A,N/A,30880,N/A,N/A,23684,N/A,N/A,22620,N/A,N/A,25684,N/A,N/A,18654,N/A,N/A,17282,N/A,N/A,18782,N/A,N/A,12230,N/A,N/A,11078
images/news/20140927-objectives.png,26412,600x300,True,PNG,None,26620,26620,19846,19846,19846,16586,16586,16586,15326,15326,15326,16706,16706,16706,12590,12590,12590,11622,11622,11622,12412,12412,12412,8314,8314,8314,7606,7606,7606
images/news/20200303-rallypoint.gif,73176,600x300,True,GIF,None,20624,20624,39638,39638,39638,37406,37406,37406,35596,35596,35596,29084,29084,29084,26728,26728,26728,25272,25272,25272,19818,19818,19818,17418,17418,17418,16494,16494,16494
images/news/20130514-bridge-repair.png,64812,235x222,False,PNG,None,23030,N/A,N/A,N/A,11324,N/A,N/A,10456,N/A,N/A,9558,N/A,N/A,7282,N/A,N/A,6934,N/A,N/A,5870,N/A,N/A,4130,N/A,N/A,3492,N/A,N/A,2804
images/news/20170401-new-factions.png,24534,350x290,False,PNG,None,17600,N/A,N/A,N/A,15012,N/A,N/A,11600,N/A,N/A,11252,N/A,N/A,12694,N/A,N/A,9468,N/A,N/A,9216,N/A,N/A,10088,N/A,N/A,7362,N/A,N/A,7074
images/news/20180729-chronovortex.png,68575,600x300,False,PNG,None,43928,N/A,N/A,N/A,40214,N/A,N/A,39892,N/A,N/A,38136,N/A,N/A,28844,N/A,N/A,27826,N/A,N/A,25700,N/A,N/A,16782,N/A,N/A,15868,N/A,N/A,13174
images/news/20151031-tddefend.png,89695,600x300,False,PNG,None,63432,N/A,N/A,N/A,55792,N/A,N/A,53556,N/A,N/A,51784,N/A,N/A,42346,N/A,N/A,39814,N/A,N/A,37204,N/A,N/A,28580,N/A,N/A,24380,N/A,N/A,21958
images/news/20140608-d2k.png,75466,600x304,True,PNG,None,65648,65648,60982,60982,60982,57492,57492,57492,56012,56012,56012,46724,46724,46724,44036,44036,44036,41552,41552,41552,32520,32520,32520,28682,28682,28682,25838,25838,25838
images/news/20231010-darkcolors.png,779240,800x422,True,PNG,Unknown,486954,486954,74106,74106,74106,68558,68558,68558,63106,63106,63106,54488,54488,54488,48314,48314,48314,45032,45032,45032,38132,38132,38132,30906,30906,30906,28668,28668,28668
images/news/20170401-color-picker.png,103290,476x433,False,PNG,None,131340,N/A,N/A,N/A,18420,N/A,N/A,13268,N/A,N/A,12770,N/A,N/A,15734,N/A,N/A,10372,N/A,N/A,9928,N/A,N/A,11748,N/A,N/A,7390,N/A,N/A,6978
images/news/20191021-tibsun.png,154106,600x300,False,PNG,None,108906,N/A,N/A,N/A,65958,N/A,N/A,63842,N/A,N/A,62380,N/A,N/A,51234,N/A,N/A,49808,N/A,N/A,47388,N/A,N/A,36284,N/A,N/A,33518,N/A,N/A,30936
images/news/20200629-lighting.png,206257,600x300,True,PNG,None,240618,240618,44328,44328,44328,41600,41600,41600,38704,38704,38704,32752,32752,32752,29672,29672,29672,27152,27152,27152,21738,21738,21738,18366,18366,18366,16750,16750,16750
images/news/20170110-stats-downloads-vs-users.png,10514,599x300,False,PNG,None,5362,N/A,N/A,N/A,9316,N/A,N/A,6636,N/A,N/A,6592,N/A,N/A,7884,N/A,N/A,5650,N/A,N/A,5568,N/A,N/A,6238,N/A,N/A,4306,N/A,N/A,4202
images/news/20130514-d2k-lobby.png,175106,811x291,True,PNG,Unknown,101338,101338,40076,40076,40076,32352,32352,32352,30832,30832,30832,33908,33908,33908,25912,25912,25912,24986,24986,24986,27318,27318,27318,20002,20002,20002,19038,19038,19038
images/news/20140608-beacons.png,78744,600x300,True,PNG,None,73382,73382,46760,46760,46760,43162,43162,43162,41812,41812,41812,35554,35554,35554,31454,31454,31454,29262,29262,29262,23752,23752,23752,18894,18894,18894,16300,16300,16300
images/news/20160329-ragl-announcement.png,225665,600x300,False,PNG,None,185600,N/A,N/A,N/A,34582,N/A,N/A,27944,N/A,N/A,26936,N/A,N/A,28390,N/A,N/A,21484,N/A,N/A,20438,N/A,N/A,21410,N/A,N/A,15138,N/A,N/A,14370
